No.,compound,valence,RA(pm)Ⅻ,RB(pm)Ⅵ,RA/RB,polA,polB,polA-polB,negA,negB,negB-negA,NegA(Bau),NegB(Bau),Neg(B-A),ZA,ZB,RA(ai),RB(ai),ZA/RA,ZB/RB,(ZA/RA)/(ZB/RB),(ZA/RA)+(ZB/RB),Y,C
97,"Pb(Fe2/3,Te1/3) O3",2 3 6,163.00,75.67,2.15,2.00,0.31,1.69,1.24,1.77,0.53,1.60,1.90,0.30,8.10,5.93,1.63,0.76,4.97,7.84,0.63,12.81,F,1
98,"(Sr,La)1/2(Cu,Nb)1/2 O3",2 3 2 5,154.00,82.50,1.87,0.95,0.28,0.67,1.11,1.64,0.54,1.10,1.85,0.75,3.15,4.15,1.54,0.83,2.05,5.03,0.41,7.08,F,1
99,"(Sr,La)1/2(Cu,Sb)1/2 O3",2 3 2 5,154.00,80.50,1.91,0.95,0.33,0.62,1.11,1.64,0.53,1.10,2.05,0.95,3.15,6.45,1.54,0.81,2.05,8.01,0.26,10.06,F,1
100,"Ba(Cu,U)1/2 O3",2 2 6,175.00,87.00,2.01,1.55,0.40,1.15,1.01,1.71,0.70,0.90,1.95,1.05,2.90,4.15,1.75,0.87,1.66,4.77,0.35,6.43,F,1
101,"(Sr,La)1/2(Cu,Ta)1/2 O3",2 3 2 5,154.00,82.50,1.87,0.95,0.33,0.62,1.11,1.70,0.59,1.10,1.36,0.26,3.15,4.90,1.54,0.83,2.05,5.94,0.34,7.98,F,1
102,"Sr(Co,Re)1/2 O3",2 2 6,158.00,78.75,2.01,0.86,0.37,0.49,1.00,1.84,0.84,1.00,1.90,0.90,2.90,5.38,1.58,0.79,1.84,6.83,0.27,8.66,F,1
103,"Sr(Ni,Re)1/2 O3",2 2 6,158.00,76.00,2.08,0.86,0.34,0.52,1.00,1.86,0.86,1.00,1.95,0.95,2.90,5.50,1.58,0.76,1.84,7.24,0.25,9.07,F,1
104,"Ba(Fe,Re)1/2 O3",2 2 6,175.00,80.50,2.17,1.55,0.38,1.17,1.01,1.83,0.82,0.90,1.90,1.00,2.90,5.25,1.75,0.81,1.66,6.52,0.25,8.18,F,1
1,"Pb(Mn2/3,W1/3) O3",2 2 4,163.00,69.33,2.35,2.00,0.41,1.59,1.24,1.56,0.32,1.60,1.47,-0.13,8.10,4.63,1.63,0.69,4.97,6.68,0.74,11.65,A,0
2,"Pb(Mn2+,W6+)1/2 O3",2 2 6,163.00,85.50,1.91,2.00,0.40,1.60,1.24,1.78,0.54,1.60,1.70,0.10,8.10,4.88,1.63,0.86,4.97,5.70,0.87,10.67,A,0
3,"Pb(Mn2+,Re6+)1/2 O3",2 2 6,163.00,83.00,1.96,2.00,0.41,1.59,1.24,1.82,0.58,1.60,1.75,0.15,8.10,5.13,1.63,0.83,4.97,6.17,0.80,11.14,A,0
4,"Pb(Mn3+,Re5+)1/2 O3",2 3 5,163.00,73.75,2.21,2.00,0.46,1.54,1.24,1.86,0.62,1.60,1.65,0.05,8.10,5.13,1.63,0.74,4.97,6.95,0.72,11.92,A,0
5,"Pb(Mn3+,W5+)1/2 O3",2 3 5,163.00,77.25,2.11,2.00,0.42,1.58,1.24,1.74,0.50,1.60,1.70,0.10,8.10,4.88,1.63,0.77,4.97,6.31,0.79,11.28,A,0
6,"Pb(Cd,W)1/2 O3",2 2 6,163.00,91.50,1.78,2.00,0.69,1.32,1.24,1.73,0.48,1.60,1.85,0.25,8.10,6.00,1.63,0.92,4.97,6.56,0.76,11.53,A,0
7,NaNbO3,1 5,141.00,78.00,1.81,0.18,0.26,-0.08,0.96,1.77,0.82,0.90,1.70,0.80,2.20,3.60,1.41,0.78,1.56,4.62,0.34,6.18,A,0
8,PbZrO3,2 4,163.00,86.00,1.90,2.00,0.37,1.63,1.24,1.48,0.24,1.60,1.50,-0.10,8.10,3.60,1.63,0.86,4.97,4.19,1.19,9.16,A,0
9,PbHfO3,2 4,163.00,85.00,1.92,2.00,0.49,1.51,1.24,1.57,0.33,1.60,1.40,-0.20,8.10,4.60,1.63,0.85,4.97,5.41,0.92,10.38,A,0
10,"Pb(Mg,W)1/2 O3",2 2 6,163.00,80.00,2.04,2.00,0.19,1.81,1.24,1.67,0.43,1.60,1.60,0.00,8.10,4.25,1.63,0.80,4.97,5.31,0.94,10.28,A,0
11,"Pb(Co,W)1/2 O3",2 3 5,163.00,81.25,2.01,2.00,0.40,1.60,1.24,1.87,0.63,1.60,1.85,0.25,8.10,5.13,1.63,0.81,4.97,6.31,0.79,11.28,A,0
12,"Pb(In,Nb)1/2 O3",2 3 5,163.00,86.00,1.90,2.00,0.50,1.50,1.24,1.61,0.37,1.60,1.70,0.10,8.10,3.25,1.63,0.86,4.97,3.78,1.31,8.75,A,0
13,"Pb(Yb,Nb)1/2 O3",2 3 5,163.00,89.40,1.82,2.00,0.48,1.53,1.24,1.52,0.28,1.60,1.45,-0.15,8.10,3.60,1.63,0.89,4.97,4.03,1.23,9.00,A,0
14,"Pb(Ho,Nb)1/2 O3",2 3 5,163.00,91.05,1.79,2.00,0.51,1.49,1.24,1.55,0.30,1.60,1.50,-0.10,8.10,3.53,1.63,0.91,4.97,3.87,1.28,8.84,A,0
15,"Pb(Lu,Nb)1/2 O3",2 3 5,163.00,89.05,1.83,2.00,0.46,1.54,1.24,1.54,0.30,1.60,1.50,-0.10,8.10,3.85,1.63,0.89,4.97,4.32,1.15,9.29,A,0
16,"Pb(Yb,Ta)1/2 O3",2 3 5,163.00,89.40,1.82,2.00,0.52,1.48,1.24,1.58,0.33,1.60,1.45,-0.15,8.10,4.35,1.63,0.89,4.97,4.87,1.02,9.84,A,0
17,"Pb(Lu,Ta)1/2 O3",2 3 5,163.00,89.05,1.83,2.00,0.51,1.49,1.24,1.60,0.36,1.60,1.50,-0.10,8.10,4.60,1.63,0.89,4.97,5.17,0.96,10.13,A,0
18,"Pb(Zn,W)1/2 O3",2 2 6,163.00,81.00,2.01,2.00,0.28,1.72,1.24,1.78,0.54,1.60,1.80,0.20,8.10,5.50,1.63,0.81,4.97,6.79,0.73,11.76,A,0
19,"Pb(Ni,W)1/2 O3",2 2 6,163.00,78.50,2.08,2.00,0.33,1.67,1.24,1.82,0.58,1.60,1.90,0.30,8.10,5.25,1.63,0.79,4.97,6.69,0.74,11.66,A,0
20,"Pb(Ga,Nb)1/2 O3",2 3 5,163.00,77.00,2.12,2.00,0.23,1.77,1.24,1.67,0.43,1.60,1.65,0.05,8.10,3.25,1.63,0.77,4.97,4.22,1.18,9.19,A,0
21,"Pb(Bi,Nb)1/2 O3",2 3 5,163.00,97.50,1.67,2.00,1.00,1.00,1.24,1.58,0.34,1.60,1.75,0.15,8.10,6.25,1.63,0.98,4.97,6.41,0.78,11.38,A,0
22,"Pb(Cd1/4,Mn1/4,Nb1/2) O3",2 2 4 5,163.00,83.00,1.96,2.00,0.46,1.54,1.24,1.70,0.46,1.60,1.80,0.20,8.10,4.44,1.63,0.83,4.97,5.35,0.93,10.32,A,0
23,"Pb(Cd1/4,Ti1/4,Ta1/2) O3",2 2 4 5,163.00,84.88,1.92,2.00,0.50,1.50,1.24,1.66,0.42,1.60,1.68,0.07,8.10,5.00,1.63,0.85,4.97,5.89,0.84,10.86,A,0
24,PbSnO3,2 4,163.00,83.00,1.96,2.00,0.50,1.50,1.24,1.58,0.34,1.60,1.90,0.30,8.10,7.40,1.63,0.83,4.97,8.92,0.56,13.88,A,0
25,"Pb(Cd1/3,Mn1/3,W1/3) O3",2 2 4 6,163.00,83.33,1.96,2.00,0.53,1.47,1.24,1.80,0.56,1.60,1.93,0.33,8.10,5.38,1.63,0.83,4.97,6.46,0.77,11.43,A,0
26,BiFeO3,3 3,147.00,78.50,1.87,1.74,0.34,1.40,1.40,1.69,0.29,1.80,1.80,0.00,8.90,4.40,1.47,0.79,6.05,5.61,1.08,11.66,A,0
27,BiMnO3,3 3,147.00,78.50,1.87,1.74,0.33,1.41,1.40,1.50,0.10,1.80,1.50,-0.30,8.90,4.15,1.47,0.79,6.05,5.29,1.15,11.34,A,0
28,"Pb(Fe2/3,U1/3) O3",2 3 6,163.00,81.33,2.00,2.00,0.39,1.61,1.24,1.76,0.52,1.60,1.83,0.23,8.10,4.13,1.63,0.81,4.97,5.08,0.98,10.05,A,0
29,"Pb(Mg,Te)1/2 O3",2 2 6,163.00,78.00,2.09,2.00,0.18,1.82,1.24,1.57,0.33,1.60,1.65,0.05,8.10,5.95,1.63,0.78,4.97,7.63,0.65,12.60,A,0
30,"Pb(Co,Te)1/2 O3",2 2 6,163.00,79.25,2.06,2.00,0.36,1.64,1.24,1.70,0.46,1.60,1.90,0.30,8.10,6.83,1.63,0.79,4.97,8.61,0.58,13.58,A,0
31,"Pb(Ni,Te)1/2 O3",2 2 6,163.00,76.50,2.13,2.00,0.32,1.68,1.24,1.72,0.48,1.60,1.95,0.35,8.10,6.95,1.63,0.77,4.97,9.08,0.55,14.05,A,0
32,"Pb(Zn,Te)1/2 O3",2 2 6,163.00,79.00,2.06,2.00,0.27,1.73,1.24,1.68,0.44,1.60,1.85,0.25,8.10,7.20,1.63,0.79,4.97,9.11,0.55,14.08,A,0
33,"Pb(Mn,Te)1/2 O3",2 2 6,163.00,83.50,1.95,2.00,0.39,1.61,1.24,1.68,0.44,1.60,1.75,0.15,8.10,6.58,1.63,0.84,4.97,7.87,0.63,12.84,A,0
34,"Pb(Cd,Te)1/2 O3",2 2 6,163.00,89.50,1.82,2.00,0.68,1.32,1.24,1.63,0.39,1.60,1.90,0.30,8.10,7.70,1.63,0.90,4.97,8.60,0.58,13.57,A,0
35,"Pb(Ca,Te)1/2 O3",2 2 6,163.00,92.00,1.77,2.00,0.37,1.63,1.24,1.48,0.24,1.60,1.55,-0.05,8.10,5.95,1.63,0.92,4.97,6.47,0.77,11.44,A,0
36,"Ba(Co,Te)1/2 O3",2 2 6,175.00,79.25,2.21,1.55,0.36,1.19,1.01,1.70,0.70,0.90,1.90,1.00,2.90,6.83,1.75,0.79,1.66,8.61,0.19,10.27,A,0
37,"Ba(Mn,Te)1/2 O3",2 2 6,175.00,83.50,2.10,1.55,0.39,1.16,1.01,1.68,0.68,0.90,1.75,0.85,2.90,6.58,1.75,0.84,1.66,7.87,0.21,9.53,A,0
38,"Ba(Ca,Te)1/2 O3",2 2 6,175.00,92.00,1.90,1.55,0.37,1.18,1.01,1.48,0.48,0.90,1.55,0.65,2.90,5.95,1.75,0.92,1.66,6.47,0.26,8.12,A,0
39,"Ba(Cd,Te)1/2 O3",2 2 6,175.00,89.50,1.96,1.55,0.68,0.87,1.01,1.63,0.62,0.90,1.90,1.00,2.90,7.70,1.75,0.90,1.66,8.60,0.19,10.26,A,0
40,"Pb(Zr0.94,Ti0.06) O3",2 4 4,163.00,85.31,1.91,2.00,0.36,1.64,1.24,1.48,0.24,1.60,1.51,-0.09,8.10,3.59,1.63,0.85,4.97,4.21,1.18,9.18,A,0
41,Pb0.92La0.08(Zr0.65Ti0.35)0.98 O3 PLZT8/65/35 ,2 3 4 4,161.96,76.95,2.10,1.92,0.31,1.62,1.24,1.48,0.24,1.60,1.50,-0.10,7.72,3.46,1.62,0.77,4.77,4.50,1.06,9.26,A,0
42,AgNbO3,1 5,157.00,78.00,2.01,1.72,0.26,1.46,1.16,1.77,0.61,1.90,1.70,-0.20,5.70,3.60,1.57,0.78,3.63,4.62,0.79,8.25,A,0
43,AgTaO3,1 5,157.00,78.00,2.01,1.72,0.36,1.36,1.16,1.88,0.72,1.90,1.70,-0.20,5.70,5.10,1.57,0.78,3.63,6.54,0.56,10.17,A,0
44,"Sr(Mn,Re)1/2 O3",2 2 6,158.00,83.00,1.90,0.86,0.41,0.45,1.00,1.82,0.82,1.00,1.75,0.75,2.90,5.13,1.58,0.83,1.84,6.17,0.30,8.01,A,0
45,"Ba(Mn,Re)1/2 O3",2 2 6,175.00,83.00,2.11,1.55,0.41,1.14,1.01,1.82,0.82,0.90,1.75,0.85,2.90,5.13,1.75,0.83,1.66,6.17,0.27,7.83,A,0
46,"Ba(Co,Re)1/2 O3",2 2 6,175.00,78.75,2.22,1.55,0.37,1.18,1.01,1.84,0.84,0.90,1.90,1.00,2.90,5.38,1.75,0.79,1.66,6.83,0.24,8.48,A,0
47,"Pb(Fe,Re)1/2 O3",2 2 6,163.00,80.50,2.02,2.00,0.46,1.54,1.24,1.83,0.59,1.60,1.90,0.30,8.10,5.25,1.63,0.81,4.97,6.52,0.76,11.49,A,0
48,"Pb(Co,Re)1/2 O3",2 2 6,163.00,78.75,2.07,2.00,0.44,1.56,1.24,1.84,0.60,1.60,1.90,0.30,8.10,5.38,1.63,0.79,4.97,6.83,0.73,11.79,A,0
49,"Pb(Ni,Re)1/2 O3",2 2 6,163.00,76.00,2.14,2.00,0.39,1.61,1.24,1.86,0.62,1.60,1.95,0.35,8.10,5.50,1.63,0.76,4.97,7.24,0.69,12.21,A,0
1,"Ba(Zn1/3,Nb2/3) O3",2 2 5,175.00,81.33,2.15,1.55,0.27,1.28,1.01,1.66,0.65,0.90,1.67,0.77,2.90,4.20,1.75,0.81,1.66,5.16,0.32,6.82,P,0
2,"Ba(Cd1/3,Nb2/3) O3",2 2 5,175.00,88.33,1.98,1.55,0.54,1.01,1.01,1.62,0.62,0.90,1.70,0.80,2.90,4.53,1.75,0.88,1.66,5.13,0.32,6.79,P,0
3,"Ba(Mg1/3,Nb2/3) O3",2 2 5,175.00,80.67,2.17,1.55,0.21,1.34,1.01,1.58,0.58,0.90,1.53,0.63,2.90,3.37,1.75,0.81,1.66,4.17,0.40,5.83,P,0
4,"Sr(Cd1/3,Nb2/3) O3",2 2 5,158.00,88.33,1.79,0.86,0.54,0.32,1.00,1.62,0.62,1.00,1.70,0.70,2.90,4.53,1.58,0.88,1.84,5.13,0.36,6.97,P,0
5,"Ba(Fe,Nb)1/2 O3",2 3 5,175.00,78.25,2.24,1.55,0.30,1.25,1.01,1.73,0.72,0.90,1.75,0.85,2.90,4.00,1.75,0.78,1.66,5.11,0.32,6.77,P,0
6,"Ba(Sc,Nb)1/2 O3",2 3 5,175.00,83.25,2.10,1.55,0.27,1.28,1.01,1.54,0.54,0.90,1.50,0.60,2.90,3.38,1.75,0.83,1.66,4.05,0.41,5.71,P,0
7,"Ca(Cr,Nb)1/2 O3",2 3 5,148.00,76.75,1.93,0.47,0.32,0.15,1.03,1.72,0.68,1.00,1.65,0.65,2.90,3.53,1.48,0.77,1.96,4.59,0.43,6.55,P,0
8,"La(Mg,Ti)1/2 O3",3 2 4,150.00,80.25,1.87,1.04,0.14,0.90,1.21,1.39,0.18,1.20,1.40,0.20,3.40,3.15,1.50,0.80,2.27,3.93,0.58,6.19,P,0
9,"Nd(Mg,Ti)1/2 O3",3 2 4,141.00,80.25,1.76,0.95,0.14,0.81,1.27,1.39,0.12,1.30,1.40,0.10,3.10,3.15,1.41,0.80,2.20,3.93,0.56,6.12,P,0
10,"(Na,La)1/2Ti O3",1 3 4,151.50,74.50,2.03,0.61,0.19,0.42,1.08,1.58,0.49,1.05,1.60,0.55,2.80,3.40,1.52,0.75,1.85,4.56,0.40,6.41,P,0
11,"(K,La)1/2Ti O3",1 3 4,164.00,74.50,2.20,0.94,0.19,0.75,1.05,1.58,0.52,1.00,1.60,0.60,2.80,3.40,1.64,0.75,1.71,4.56,0.37,6.27,P,0
12,"(Na,Ce)1/2Ti O3",1 3 4,150.50,74.50,2.02,0.60,0.19,0.42,1.10,1.58,0.48,1.05,1.60,0.55,2.60,3.40,1.51,0.75,1.73,4.56,0.38,6.29,P,0
13,"(Na,Nd)1/2Ti O3",1 3 4,147.00,74.50,1.97,0.56,0.19,0.38,1.11,1.58,0.46,1.10,1.60,0.50,2.65,3.40,1.47,0.75,1.80,4.56,0.40,6.37,P,0
14,LaHoO3,3 3,150.00,104.10,1.44,1.04,0.76,0.28,1.21,1.32,0.11,1.20,1.30,0.10,3.40,3.45,1.50,1.04,2.27,3.31,0.68,5.58,P,0
15,SrThO3,2 4,158.00,108.00,1.46,0.86,0.86,0.00,1.00,1.40,0.40,1.00,1.40,0.40,2.90,4.00,1.58,1.08,1.84,3.70,0.50,5.54,P,0
16,CdSnO3,2 4,145.00,83.00,1.75,1.09,0.50,0.59,1.32,1.58,0.27,1.70,1.90,0.20,6.40,7.40,1.45,0.83,4.41,8.92,0.50,13.33,P,0
17,SrUO3,2 4,158.00,103.00,1.53,0.86,0.77,0.09,1.00,1.40,0.40,1.00,1.40,0.40,2.90,3.60,1.58,1.03,1.84,3.50,0.53,5.33,P,0
18,CaZrO3,2 4,148.00,86.00,1.72,0.47,0.37,0.10,1.03,1.48,0.44,1.00,1.50,0.50,2.90,3.60,1.48,0.86,1.96,4.19,0.47,6.15,P,0
19,CaHfO3,2 4,148.00,85.00,1.74,0.47,0.49,-0.02,1.03,1.57,0.54,1.00,1.40,0.40,2.90,4.60,1.48,0.85,1.96,5.41,0.36,7.37,P,0
20,CaSnO3,2 4,148.00,83.00,1.78,0.47,0.50,-0.03,1.03,1.58,0.55,1.00,1.90,0.90,2.90,7.40,1.48,0.83,1.96,8.92,0.22,10.88,P,0
21,SrCeO3,2 4,158.00,101.00,1.56,0.86,0.73,0.13,1.00,1.41,0.41,1.00,1.20,0.20,2.90,3.00,1.58,1.01,1.84,2.97,0.62,4.81,P,0
22,CaMoO3,2 4,148.00,67.00,2.21,0.47,0.71,-0.24,1.03,1.81,0.77,1.00,1.60,0.60,2.90,3.95,1.48,0.67,1.96,5.90,0.33,7.85,P,0
23,CaRuO3,2 4,148.00,76.00,1.95,0.47,0.54,-0.07,1.03,1.88,0.85,1.00,2.00,1.00,2.90,4.65,1.48,0.76,1.96,6.12,0.32,8.08,P,0
24,CaTiO3,2 4,148.00,74.50,1.99,0.47,0.19,0.29,1.03,1.58,0.55,1.00,1.60,0.60,2.90,3.40,1.48,0.75,1.96,4.56,0.43,6.52,P,0
25,CaMnO3,2 4,148.00,67.00,2.21,0.47,0.23,0.24,1.03,1.95,0.92,1.00,2.10,1.10,2.90,4.15,1.48,0.67,1.96,6.19,0.32,8.15,P,0
26,CaUO3,2 4,148.00,103.00,1.44,0.47,0.77,-0.30,1.03,1.40,0.37,1.00,1.40,0.40,2.90,3.60,1.48,1.03,1.96,3.50,0.56,5.45,P,0
27,CdPbO3,2 4,145.00,91.50,1.58,1.09,0.62,0.47,1.32,1.56,0.24,1.70,1.80,0.10,6.40,8.10,1.45,0.92,4.41,8.85,0.50,13.27,P,0
28,CdUO3,2 4,145.00,103.00,1.41,1.09,0.77,0.32,1.32,1.40,0.08,1.70,1.40,-0.30,6.40,3.60,1.45,1.03,4.41,3.50,1.26,7.91,P,0
29,CdZrO3,2 4,145.00,86.00,1.69,1.09,0.37,0.72,1.32,1.48,0.16,1.70,1.50,-0.20,6.40,3.60,1.45,0.86,4.41,4.19,1.05,8.60,P,0
30,SrPbO3,2 4,158.00,91.50,1.73,0.86,0.62,0.24,1.00,1.56,0.55,1.00,1.80,0.80,2.90,8.10,1.58,0.92,1.84,8.85,0.21,10.69,P,0
31,SrSnO3,2 4,158.00,83.00,1.90,0.86,0.50,0.36,1.00,1.58,0.58,1.00,1.90,0.90,2.90,7.40,1.58,0.83,1.84,8.92,0.21,10.75,P,0
32,SrZrO3,2 4,158.00,86.00,1.84,0.86,0.37,0.49,1.00,1.48,0.47,1.00,1.50,0.50,2.90,3.60,1.58,0.86,1.84,4.19,0.44,6.02,P,0
33,KUO3,1 5,178.00,90.00,1.98,0.84,0.77,0.07,0.90,1.40,0.50,0.80,1.40,0.60,2.20,3.60,1.78,0.90,1.24,4.00,0.31,5.24,P,0
34,BaSnO3,2 4,175.00,83.00,2.11,1.55,0.50,1.05,1.01,1.58,0.58,0.90,1.90,1.00,2.90,7.40,1.75,0.83,1.66,8.92,0.19,10.57,P,0
35,BaThO3,2 4,175.00,108.00,1.62,1.55,0.86,0.69,1.01,1.40,0.40,0.90,1.40,0.50,2.90,4.00,1.75,1.08,1.66,3.70,0.45,5.36,P,0
36,"Ba(Sb,In)1/2 O3",2 5 3,175.00,84.00,2.08,1.55,0.55,1.01,1.01,1.60,0.60,0.90,1.90,1.00,2.90,7.40,1.75,0.84,1.66,8.81,0.19,10.47,P,0
37,BaUO3,2 4,175.00,103.00,1.70,1.55,0.77,0.78,1.01,1.40,0.40,0.90,1.40,0.50,2.90,3.60,1.75,1.03,1.66,3.50,0.47,5.15,P,0
38,"Ba(Bi,Bi)1/2 O3",2 3 5,175.00,103.50,1.69,1.55,1.10,0.45,1.01,1.60,0.59,0.90,1.80,0.90,2.90,8.90,1.75,1.04,1.66,8.60,0.19,10.26,P,0
39,"Ba(U,Ba)1/2 O3",2 6 2,175.00,118.00,1.48,1.55,1.03,0.53,1.01,1.45,0.45,0.90,1.40,0.50,2.90,3.25,1.75,1.18,1.66,2.75,0.60,4.41,P,0
40,"Ba(W,Ba)1/2 O3",2 6 2,175.00,111.50,1.57,1.55,0.92,0.64,1.01,1.57,0.56,0.90,1.45,0.55,2.90,4.25,1.75,1.12,1.66,3.81,0.43,5.47,P,0
41,"Ba(Ni,W)1/2 O3",2 2 6,175.00,78.50,2.23,1.55,0.33,1.22,1.01,1.82,0.81,0.90,1.90,1.00,2.90,5.25,1.75,0.79,1.66,6.69,0.25,8.35,P,0
42,BaZrO3,2 4,175.00,86.00,2.03,1.55,0.37,1.18,1.01,1.48,0.47,0.90,1.50,0.60,2.90,3.60,1.75,0.86,1.66,4.19,0.40,5.84,P,0
43,"(K,Bi)1/2Zr O3",1 3 4,162.50,86.00,1.89,1.29,0.37,0.92,1.15,1.48,0.33,1.30,1.50,0.20,5.55,3.60,1.63,0.86,3.42,4.19,0.82,7.60,P,0
44,SrHfO3,2 4,158.00,85.00,1.86,0.86,0.49,0.37,1.00,1.57,0.56,1.00,1.40,0.40,2.90,4.60,1.58,0.85,1.84,5.41,0.34,7.25,P,0
45,SrMnO3,2 4,158.00,67.00,2.36,0.86,0.23,0.63,1.00,1.95,0.95,1.00,1.40,0.40,2.90,4.15,1.58,0.67,1.84,6.19,0.30,8.03,P,0